Time Period,Bank credit,Securities in bank credit,Treasury and agency securities,Treasury and agency securities: Mortgage-backed securities (MBS),Treasury and agency securities: Non-MBS,Other securities,Other securities: Mortgage-backed securities,Other securities: Non-MBS,Loans and leases in bank credit,Commercial and industrial loans,Real estate loans,Real estate loans: Residential real estate loans,Real estate loans: Residential real estate loans: Revolving home equity loans,Real estate loans: Residential real estate loans: Closed-end residential loans,Real estate loans: Commercial real estate loans,Real estate loans: Commercial real estate loans: Construction and land development loans,Real estate loans: Commercial real estate loans: Secured by farmland,Real estate loans: Commercial real estate loans: Secured by multifamily properties,Real estate loans: Commercial real estate loans: Secured by nonfarm nonresidential properties,Consumer loans,Consumer loans: Credit cards and other revolving plans,Consumer loans: Other consumer loans,Consumer loans: Other consumer loans: Automobile loans,Consumer loans: Other consumer loans: All other consumer loans,Other loans and leases: All other loans and leases,Other loans and leases: All other loans and leases: Loans to nondepository financial institutions,Other loans and leases: All other loans and leases: Other loans not elsewhere classified,LESS: Allowance for loan and lease losses,Cash assets,Total fed funds sold and securities purchased under agreements to resell,Loans to commercial banks,Other assets,Total assets,Deposits,Large time deposits,Other deposits,Borrowings,Net due to related foreign offices,Other liabilities,Total liabilities,Residual (assets less liabilities)
1974-06,666885.8,167306.3,85657.5,,,81648.8,,,499579.5,170097.4,124902.7,,,,,,,,,101435.1,,,,,103144.3,,,,88102.1,,4031.5,36387.2,819573.8,681287.9,,,68026.9,,22678.2,770227.5,49346.3
1974-07,671973.6,165413.1,83035.8,,,82377.2,,,506560.6,173592.9,126488,,,,,,,,,102214.4,,,,,104265.3,,,,89803.2,,4083.6,38353.4,826115.1,685365.6,,,68697.4,,23856.2,776068.8,50046.4
1974-08,675797.7,166074.6,83912.4,,,82162.2,,,509723.1,174321.4,127550.5,,,,,,,,,103128,,,,,104723.2,,,,85716.2,,3870.8,39611,827935.7,685759.5,,,67787,,24639.3,776217,51718.7
1974-09,678674.8,165614.6,82572.7,,,83042,,,513060.2,176082.1,128557.5,,,,,,,,,103656.8,,,,,104763.8,,,,89894.7,,3697.1,40777.8,836621.3,694076.9,,,67060.1,,25656.1,784606.9,52014.5
1974-10,678091.4,165185.9,81417,,,83768.9,,,512905.5,176713.9,129235.8,,,,,,,,,103552.6,,,,,103403.1,,,,92885.7,,3322.6,41375.8,841055.1,698669.9,,,67472.5,,25767.8,789463.1,51592
1974-11,680398.1,167215.6,84468.2,,,82747.4,,,513182.5,177543.1,129787.5,,,,,,,,,103078.6,,,,,102773.4,,,,94863.5,,3197.8,43268.4,849677.4,703271.1,,,69609.8,,27709.3,798049.5,51627.8
1974-12,687273.5,170351.8,87133.1,,,83218.7,,,516921.7,179554,130034.2,,,,,,,,,102819.7,,,,,104513.7,,,,95380.9,,3250.8,44043.9,858955,716773.5,,,65209.1,,28347,807493.4,51461.5
1975-01,681520.9,170504.8,87008.2,,,83496.6,,,511016.1,177763.2,130307.8,,,,,,,,,101946.5,,,,,100998.6,,,,90401,,3213.5,42796.7,845858.7,710164.6,,,62440.5,,25392.6,794485.3,51373.4
1975-02,675130.3,170478.1,86351.4,,,84126.8,,,504652.2,175065.9,130195.3,,,,,,,,,101257.6,,,,,98133.4,,,,89886.6,,3042,44048.4,842005.2,704075.9,,,64344.4,,25966.3,790409,51596.3
1975-03,679761.7,175677.1,91500.4,,,84176.6,,,504084.7,174562.1,130223,,,,,,,,,100369,,,,,98930.5,,,,87935,,2920.1,45006.3,847194.4,711517.1,,,61807.6,,26574.8,795510.9,51683.5
