Time Period,Bank credit,Securities in bank credit,Treasury and agency securities,Treasury and agency securities: Mortgage-backed securities (MBS),Treasury and agency securities: Non-MBS,Other securities,Other securities: Mortgage-backed securities,Other securities: Non-MBS,Loans and leases in bank credit,Commercial and industrial loans,Real estate loans,Real estate loans: Residential real estate loans,Real estate loans: Residential real estate loans: Revolving home equity loans,Real estate loans: Residential real estate loans: Closed-end residential loans,Real estate loans: Commercial real estate loans,Real estate loans: Commercial real estate loans: Construction and land development loans,Real estate loans: Commercial real estate loans: Secured by farmland,Real estate loans: Commercial real estate loans: Secured by multifamily properties,Real estate loans: Commercial real estate loans: Secured by nonfarm nonresidential properties,Consumer loans,Consumer loans: Credit cards and other revolving plans,Consumer loans: Other consumer loans,Consumer loans: Other consumer loans: Automobile loans,Consumer loans: Other consumer loans: All other consumer loans,Other loans and leases: All other loans and leases,Other loans and leases: All other loans and leases: Loans to nondepository financial institutions,Other loans and leases: All other loans and leases: Other loans not elsewhere classified,LESS: Allowance for loan and lease losses,Cash assets,Total fed funds sold and securities purchased under agreements to resell,Loans to commercial banks,Other assets,Total assets,Deposits,Large time deposits,Other deposits,Borrowings,Net due to related foreign offices,Other liabilities,Total liabilities,Residual (assets less liabilities)
1953-12,139690.8,77421.5,66686.8,,,10734.6,,,62269.3,23758.4,15763.5,,,,,,,,,14477.4,,,,,,,,,,,,,,,,,,,,,
1954-01,139226,77833.8,67037.1,,,10796.7,,,61392.2,23170,15735.9,,,,,,,,,14427,,,,,,,,,,,,,,,,,,,,,
1954-02,137894.3,77282.1,66311.3,,,10970.8,,,60612.2,22848.3,15681,,,,,,,,,14176.1,,,,,,,,,,,,,,,,,,,,,
1954-03,136641.3,75663.1,64582.7,,,11080.4,,,60978.2,22969.7,15737,,,,,,,,,14101.4,,,,,,,,,,,,,,,,,,,,,
1954-04,136822.9,75818.1,64635,,,11183.1,,,61004.9,22782.3,15833.2,,,,,,,,,14131.4,,,,,,,,,,,,,,,,,,,,,
1954-05,137932.8,76974.5,65705.7,,,11268.8,,,60958.3,22478.1,15928.1,,,,,,,,,14163,,,,,,,,,,,,,,,,,,,,,
1954-06,139084.8,77495.4,66087.1,,,11408.3,,,61589.4,22420.4,16093.8,,,,,,,,,14320.6,,,,,,,,,,,,,,,,,,,,,
1954-07,139967.8,78336.5,66808.6,,,11527.9,,,61631.3,22250.3,16279.6,,,,,,,,,14460.9,,,,,,,,,,,,,,,,,,,,,
1954-08,142502.8,80802.3,69194.7,,,11607.6,,,61700.5,22138.3,16458.8,,,,,,,,,14503.5,,,,,,,,,,,,,,,,,,,,,
1954-09,144261.8,81855.1,70108.2,,,11746.9,,,62406.8,22365.1,16651,,,,,,,,,14524.5,,,,,,,,,,,,,,,,,,,,,
1954-10,146991.6,83960.5,72103.1,,,11857.4,,,63031.1,22665.5,16842,,,,,,,,,14546,,,,,,,,,,,,,,,,,,,,,
1954-11,148456.1,84934.3,73027.7,,,11906.7,,,63521.8,22907.8,17033,,,,,,,,,14568.4,,,,,,,,,,,,,,,,,,,,,
1954-12,150327.3,85765.8,73781,,,11984.8,,,64561.5,23083,17287,,,,,,,,,14723.4,,,,,,,,,,,,,,,,,,,,,
1955-01,149794.4,85023.3,72812.4,,,12210.9,,,64771.1,22925.8,17456.3,,,,,,,,,14763.2,,,,,,,,,,,,,,,,,,,,,
1955-02,147391.5,82548.5,70192.5,,,12356,,,64843,22857.4,17605.5,,,,,,,,,14802.4,,,,,,,,,,,,,,,,,,,,,
1955-03,146058.8,80296.2,67858.5,,,12437.7,,,65762.5,23200.4,17791.8,,,,,,,,,15008.2,,,,,,,,,,,,,,,,,,,,,
1955-04,146762.8,80182.3,67733.8,,,12448.5,,,66580.5,23336.7,17983,,,,,,,,,15350.7,,,,,,,,,,,,,,,,,,,,,
1955-05,147280.7,79828.4,67533.2,,,12295.3,,,67452.2,23508.4,18199.1,,,,,,,,,15663,,,,,,,,,,,,,,,,,,,,,
1955-06,147633.6,78413.2,66180.3,,,12233,,,69220.3,24057.9,18519.3,,,,,,,,,16186.3,,,,,,,,,,,,,,,,,,,,,
1955-07,148271.1,78111.6,65888.4,,,12223.2,,,70159.5,24375.6,18727.1,,,,,,,,,16457.2,,,,,,,,,,,,,,,,,,,,,
1955-08,148223.7,77607.8,65335.2,,,12272.6,,,70616,24684.5,18934.4,,,,,,,,,16550.7,,,,,,,,,,,,,,,,,,,,,
1955-09,148548.2,76996.2,64699.4,,,12296.8,,,71552,25275.1,19221.1,,,,,,,,,16714.1,,,,,,,,,,,,,,,,,,,,,
1955-10,150014.2,77382.8,65126.1,,,12256.7,,,72631.4,25850.6,19442.8,,,,,,,,,16868.5,,,,,,,,,,,,,,,,,,,,,
1955-11,150516.2,76693.4,64527.4,,,12166,,,73822.8,26666.8,19490,,,,,,,,,16944.3,,,,,,,,,,,,,,,,,,,,,
1955-12,151675,76510,64416.2,,,12093.8,,,75165,27311.6,19555.9,,,,,,,,,17095.2,,,,,,,,,,,,,,,,,,,,,
1956-01,151224.6,75871.9,63802.5,,,12069.3,,,75352.8,27282,19641.5,,,,,,,,,17203.9,,,,,,,,,,,,,,,,,,,,,
1956-02,150008.7,74480.5,62352.9,,,12127.6,,,75528.2,27457.2,19720.2,,,,,,,,,17206.1,,,,,,,,,,,,,,,,,,,,,
1956-03,150410.8,73475.5,61306.7,,,12168.9,,,76935.3,28496.1,19873.1,,,,,,,,,17349.8,,,,,,,,,,,,,,,,,,,,,
1956-04,150888.4,72816,60637.4,,,12178.7,,,78072.3,29217,20061.1,,,,,,,,,17590.4,,,,,,,,,,,,,,,,,,,,,
1956-05,150750.6,71938.6,59844.5,,,12094.2,,,78811.9,29390.2,20250.1,,,,,,,,,17832.8,,,,,,,,,,,,,,,,,,,,,
1956-06,151550.5,71022.4,58969.5,,,12052.9,,,80528.1,30266.1,20532.5,,,,,,,,,18287.9,,,,,,,,,,,,,,,,,,,,,
1956-07,151409.5,70438.6,58456.2,,,11982.4,,,80970.9,30611.3,20632.4,,,,,,,,,18461.6,,,,,,,,,,,,,,,,,,,,,
1956-08,151937.1,71055.7,59027.4,,,12028.4,,,80881.4,30780.2,20722.5,,,,,,,,,18493.4,,,,,,,,,,,,,,,,,,,,,
1956-09,153067.5,71420.1,59259.2,,,12160.9,,,81647.4,31382.2,20910.8,,,,,,,,,18541.8,,,,,,,,,,,,,,,,,,,,,
1956-10,154073.6,71619.7,59538.3,,,12081.5,,,82453.8,31992.7,21042.1,,,,,,,,,18614.5,,,,,,,,,,,,,,,,,,,,,
1956-11,155265.1,72227.7,60236.2,,,11991.5,,,83037.4,32496.5,21139.3,,,,,,,,,18665.5,,,,,,,,,,,,,,,,,,,,,
1956-12,156928.5,72684.8,60753.6,,,11931.2,,,84243.7,33133.1,21298.7,,,,,,,,,18884.1,,,,,,,,,,,,,,,,,,,,,
1957-01,155806.6,72224.9,60306.5,,,11918.4,,,83581.7,32777.5,21257.9,,,,,,,,,18774.5,,,,,,,,,,,,,,,,,,,,,
1957-02,154280.3,71406.9,59418,,,11988.9,,,82873.4,32405.1,21175.5,,,,,,,,,18648.4,,,,,,,,,,,,,,,,,,,,,
1957-03,154066.5,70495.4,58386.9,,,12108.5,,,83571.1,32958.6,21176.5,,,,,,,,,18722.6,,,,,,,,,,,,,,,,,,,,,
1957-04,155647.7,71427.3,59189.3,,,12238,,,84220.4,33299.5,21176.8,,,,,,,,,18871.3,,,,,,,,,,,,,,,,,,,,,
1957-05,156363,71605.2,59268,,,12337.3,,,84757.8,33396.6,21177.3,,,,,,,,,19144.4,,,,,,,,,,,,,,,,,,,,,
1957-06,156275.5,70404.8,58040.6,,,12364.2,,,85870.7,34133.4,21196.8,,,,,,,,,19390,,,,,,,,,,,,,,,,,,,,,
1957-07,156556.6,70365.7,58041,,,12324.8,,,86190.8,34309.1,21302.8,,,,,,,,,19564.1,,,,,,,,,,,,,,,,,,,,,
1957-08,156997.7,70626.4,58270.5,,,12355.9,,,86371.4,34301.2,21422.9,,,,,,,,,19729.5,,,,,,,,,,,,,,,,,,,,,
1957-09,157458.6,70592.1,58129.7,,,12462.4,,,86866.4,34510.3,21514.5,,,,,,,,,19890,,,,,,,,,,,,,,,,,,,,,
1957-10,158897.5,71794,59059.9,,,12734.1,,,87103.5,34508.2,21551.6,,,,,,,,,19976.8,,,,,,,,,,,,,,,,,,,,,
1957-11,159311.8,72097.8,59340,,,12757.7,,,87214.1,34543.5,21603.2,,,,,,,,,20008.8,,,,,,,,,,,,,,,,,,,,,
1957-12,161362.3,72882.9,60013.7,,,12869.2,,,88479.4,34524.2,21639.2,,,,,,,,,19834.8,,,,,,,,,,,,,,,,,,,,,
1958-01,167272.1,73173.3,60169.8,,,13003.5,,,94098.8,34768.6,22477.5,,,,,,,,,19882.2,,,,,,,,,,,,,,,,,,,,,
1958-02,167806.3,73684,60519.8,,,13164.2,,,94122.4,34509.2,22696.7,,,,,,,,,19866.7,,,,,,,,,,,,,,,,,,,,,
1958-03,169898.9,75271.2,61748.5,,,13522.7,,,94627.7,34637.2,22736.2,,,,,,,,,19686.7,,,,,,,,,,,,,,,,,,,,,
1958-04,173271.3,78033.9,64217.4,,,13816.5,,,95237.4,34495.1,22795.7,,,,,,,,,19706,,,,,,,,,,,,,,,,,,,,,
1958-05,174741.5,79527.2,65551.8,,,13975.4,,,95214.3,34233.2,22953.4,,,,,,,,,19826.8,,,,,,,,,,,,,,,,,,,,,
1958-06,177127.6,80948.4,66664.8,,,14283.6,,,96179.2,34398.5,23082.7,,,,,,,,,19878.8,,,,,,,,,,,,,,,,,,,,,
1958-07,177624.3,81070.5,66826.2,,,14244.4,,,96553.8,34157.9,23288.2,,,,,,,,,20058.8,,,,,,,,,,,,,,,,,,,,,
1958-08,178472.7,82373.5,67988.8,,,14384.6,,,96099.2,34091.6,23530.6,,,,,,,,,20281.4,,,,,,,,,,,,,,,,,,,,,
1958-09,178957.8,82457,67765,,,14692,,,96500.9,34499.3,23728,,,,,,,,,20230.2,,,,,,,,,,,,,,,,,,,,,
1958-10,180315.4,83193,68413.2,,,14779.9,,,97122.3,34807.8,24043.1,,,,,,,,,20180.4,,,,,,,,,,,,,,,,,,,,,
1958-11,181989.9,84056.8,69322.8,,,14734,,,97933.1,35082.6,24377.1,,,,,,,,,20234.6,,,,,,,,,,,,,,,,,,,,,
1958-12,183675.4,84063.3,69231,,,14832.2,,,99612.1,35538.8,24642.7,,,,,,,,,20466,,,,,,,,,,,,,,,,,,,,,
1959-01,184059.9,84204.3,69342.7,,,14861.6,,,99855.6,35170.9,24948.2,,,,,,,,,20702.9,,,,,,,,,,,,,,,,,,,,,
1959-02,183092,83528,68680,,,14848,,,99564,34844.5,25141.6,,,,,,,,,20814.5,,,,,,,,,,,,,,,,,,,,,
1959-03,182007.7,81640.5,66632.9,,,15007.6,,,100367.2,35269.3,25297,,,,,,,,,20967.8,,,,,,,,,,,,,,,,,,,,,
1959-04,183659,81809.9,66547.1,,,15262.8,,,101849.1,35636.5,25611.7,,,,,,,,,21326.7,,,,,,,,,,,,,,,,,,,,,
1959-05,184130.4,80731.5,65609.9,,,15121.6,,,103398.8,36274.1,25942.8,,,,,,,,,21705.5,,,,,,,,,,,,,,,,,,,,,
1959-06,184134.8,78697.2,63596.5,,,15100.7,,,105437.6,37163.7,26233.1,,,,,,,,,22106.4,,,,,,,,,,,,,,,,,,,,,
1959-07,186497,78998.4,63889.8,,,15108.6,,,107498.6,37513.8,26469.5,,,,,,,,,22526.6,,,,,,,,,,,,,,,,,,,,,
1959-08,185944.5,77304.5,62243.4,,,15061.2,,,108640,37754.9,26667.4,,,,,,,,,22924.8,,,,,,,,,,,,,,,,,,,,,
1959-09,186700.7,76892.6,61722.3,,,15170.3,,,109808,38209.2,26864.8,,,,,,,,,23322.5,,,,,,,,,,,,,,,,,,,,,
1959-10,186565,76223.5,61066.1,,,15157.4,,,110341.6,38470.6,27064.7,,,,,,,,,23642.6,,,,,,,,,,,,,,,,,,,,,
1959-11,186915.6,75879.3,60897.8,,,14981.5,,,111036.3,38876.8,27264.9,,,,,,,,,23766.8,,,,,,,,,,,,,,,,,,,,,
1959-12,189954.7,76171.1,61164.2,,,15006.8,,,113783.7,39824.1,27619.2,,,,,,,,,24145.3,,,,,,,,,,,,,,,,,,,,,
1960-01,188735.4,75451.5,60478.1,,,14973.4,,,113283.9,39591.8,27645.3,,,,,,,,,24244.4,,,,,,,,,,,,,,,,,,,,,
1960-02,185749.6,73336.3,58494.9,,,14841.4,,,112413.3,39368.7,27596.5,,,,,,,,,24279.7,,,,,,,,,,,,,,,,,,,,,
1960-03,184952,71529.6,56684.8,,,14844.8,,,113422.4,40177.6,27636.1,,,,,,,,,24357.2,,,,,,,,,,,,,,,,,,,,,
1960-04,185921.4,71471.8,56645.4,,,14826.4,,,114449.5,40622.9,27695.1,,,,,,,,,24639.5,,,,,,,,,,,,,,,,,,,,,
