Time Period,Bank credit,Securities in bank credit,Treasury and agency securities,Treasury and agency securities: Mortgage-backed securities (MBS),Treasury and agency securities: Non-MBS,Other securities,Other securities: Mortgage-backed securities,Other securities: Non-MBS,Loans and leases in bank credit,Commercial and industrial loans,Real estate loans,Real estate loans: Residential real estate loans,Real estate loans: Residential real estate loans: Revolving home equity loans,Real estate loans: Residential real estate loans: Closed-end residential loans,Real estate loans: Commercial real estate loans,Real estate loans: Commercial real estate loans: Construction and land development loans,Real estate loans: Commercial real estate loans: Secured by farmland,Real estate loans: Commercial real estate loans: Secured by multifamily properties,Real estate loans: Commercial real estate loans: Secured by nonfarm nonresidential properties,Consumer loans,Consumer loans: Credit cards and other revolving plans,Consumer loans: Other consumer loans,Consumer loans: Other consumer loans: Automobile loans,Consumer loans: Other consumer loans: All other consumer loans,Other loans and leases: All other loans and leases,Other loans and leases: All other loans and leases: Loans to nondepository financial institutions,Other loans and leases: All other loans and leases: Other loans not elsewhere classified,LESS: Allowance for loan and lease losses,Cash assets,Total fed funds sold and securities purchased under agreements to resell,Loans to commercial banks,Other assets,Total assets,Deposits,Large time deposits,Other deposits,Borrowings,Net due to related foreign offices,Other liabilities,Total liabilities,Residual (assets less liabilities)
1986-02,1425097.8,281518.5,155310.1,,,126208.4,,,1143579.3,371717.3,335083.2,,,,,,,,,284673.1,,,,,152105.7,,,21950.4,178518.2,,22754.3,117708.5,1851436.6,1373923.5,226521.5,1147402,270190.6,,56844,1671444.6,179992
1986-03,1429568.3,275958.7,153654.1,,,122304.6,,,1153609.6,374912.7,338243.3,,,,,,,,,283933.1,,,,,156520.5,,,22381,180284,,22856.1,121674.7,1866303.7,1383015.5,224946.2,1158069.3,273022.5,,59899,1684425.2,181878.5
1986-04,1437818.1,276038.2,153807.7,,,122230.5,,,1161779.9,376900.4,341936.1,,,,,,,,,285826.3,,,,,157117.2,,,22886.6,185427.7,,23216.3,124928.7,1882743.8,1400875.4,221309.2,1179566.2,272617.7,,56727.8,1694854.7,187889
1986-05,1442097.1,276212.3,154900.9,,,121311.4,,,1165884.8,376928,345718.6,,,,,,,,,288273.9,,,,,154964.3,,,23335.9,185061.3,,24257.6,120902,1873103.9,1398276.7,218095.4,1180181.3,268451.6,,54551.6,1685267.7,187836.1
1986-06,1448429.6,276812.2,155446.9,,,121365.4,,,1171617.3,376616.8,349243.9,,,,,,,,,290513.6,,,,,155243,,,23735.4,184069.9,,23781.1,119468.1,1878071.3,1413894.7,216753.2,1197141.6,262700.9,,62216.6,1698860,179211.3
1986-07,1464004.5,287036.9,162791.1,,,124245.7,,,1176967.6,374281.1,353816.8,,,,,,,,,293199.7,,,,,155670,,,24318.5,185770.8,,23632.3,116632.6,1893272.6,1423542,216232,1207310,268218.5,,60787.8,1712600.9,180671.8
1986-08,1478821.6,295336.5,165244.3,,,130092.2,,,1183485.2,373298.9,358519,,,,,,,,,296373.7,,,,,155293.5,,,24809.9,185064.8,,24365.6,115889.2,1904793.2,1432828.8,218453.9,1214374.8,266997,,37507.6,1699744.5,205048.7
1986-09,1493279.5,301340,166971.3,,,134368.7,,,1191939.5,373283,362600,,,,,,,,,299874,,,,,156182.6,,,25164.5,190139.7,,25321.4,118931.2,1929210.5,1446961.8,218917.2,1228044.6,277010.6,,51847.5,1737696.4,191514.1
1986-10,1494759.8,299930.8,167980.3,,,131950.6,,,1194829,373835.8,366533.9,,,,,,,,,301017.8,,,,,153441.4,,,25352.8,195392.1,,25030,116542.2,1934477.9,1453540.8,217492.9,1236047.8,275501.5,,51093.4,1742044.4,192433.5
1986-11,1512569.4,305409.6,174437.8,,,130971.8,,,1207159.8,379253.1,370470.4,,,,,,,,,302887.3,,,,,154549,,,25967.8,206569.2,,26418.5,111634.9,1966635.8,1477186.2,217342.9,1259843.3,283540.5,,53361.7,1774440.3,192195.5
1986-12,1542949.5,308244.6,177853.1,,,130391.5,,,1234704.9,391944.9,378767.5,,,,,,,,,307193.8,,,,,156798.6,,,26356.1,216024,,28409.4,110317.2,2005892,1512360.3,218535.9,1293824.4,291150.3,,57430.8,1818846.9,187045.1
1987-01,1552122.9,307942.7,180892.1,,,127050.5,,,1244180.2,397653.6,387263.2,,,,,,,,,307054.9,,,,,152208.5,,,26709.6,205598.8,,30082.5,110837.2,2011970.6,1498767,219864.2,1278902.7,307130.2,,52618.3,1820461.3,191509.4
1987-02,1549872.1,310292.2,182985.3,,,127306.9,,,1239579.9,396135.8,390427.5,,,,,,,,,304201.3,,,,,148815.3,,,27232.1,198082.2,,29723.4,116946.6,2001402.1,1486093.6,221533.9,1264559.7,305233.4,,52442.7,1808091.4,193310.6
1987-03,1551858.8,309401.9,182492,,,126909.9,,,1242456.9,395436.4,395913.4,,,,,,,,,302759.3,,,,,148347.9,,,27585.1,197268.1,,30433.2,123074,2005199.6,1493623.1,223268.3,1270354.8,292900.8,,61586.6,1816622.2,188577.5
1987-04,1566364.2,310426.2,182099.6,,,128326.6,,,1255937.9,395120.8,402417.7,,,,,,,,,304196.8,,,,,154202.7,,,27522.2,200967.9,,32668.3,124525.7,2029267.9,1509844.7,224295.7,1285549.1,296550.2,,50406.9,1825544.3,203723.6
1987-05,1571455.7,311768.5,182640.6,,,129127.9,,,1259687.2,395728.2,408481.1,,,,,,,,,304911,,,,,150566.9,,,28888.2,195185.5,,32739.2,123293.9,2021811.4,1496504.1,227496.8,1269007.3,302105.8,,52680.9,1823080.9,198730.4
1987-06,1573520.6,310083.6,181385.8,,,128697.8,,,1263437,393780.8,416358.9,,,,,,,,,303387.4,,,,,149909.9,,,36749.2,199825.9,,31131.4,123213.7,2020989,1511165.1,230036.8,1281128.3,293352.6,,48473,1827767.9,193221.1
1987-07,1575292.2,312892.5,184700.2,,,128192.3,,,1262399.6,388424.8,422878.5,,23554.4,,,,,,,304648.2,,,,,146448.1,,,44134,191366.2,,32107.4,124154.5,2006719.2,1507196.6,230848.7,1276347.9,289845.7,,49254.2,1823401,183318.2
