Time Period,Bank credit,Securities in bank credit,Treasury and agency securities,Treasury and agency securities: Mortgage-backed securities (MBS),Treasury and agency securities: Non-MBS,Other securities,Other securities: Mortgage-backed securities,Other securities: Non-MBS,Loans and leases in bank credit,Commercial and industrial loans,Real estate loans,Real estate loans: Residential real estate loans,Real estate loans: Residential real estate loans: Revolving home equity loans,Real estate loans: Residential real estate loans: Closed-end residential loans,Real estate loans: Commercial real estate loans,Real estate loans: Commercial real estate loans: Construction and land development loans,Real estate loans: Commercial real estate loans: Secured by farmland,Real estate loans: Commercial real estate loans: Secured by multifamily properties,Real estate loans: Commercial real estate loans: Secured by nonfarm nonresidential properties,Consumer loans,Consumer loans: Credit cards and other revolving plans,Consumer loans: Other consumer loans,Consumer loans: Other consumer loans: Automobile loans,Consumer loans: Other consumer loans: All other consumer loans,Other loans and leases: All other loans and leases,Other loans and leases: All other loans and leases: Loans to nondepository financial institutions,Other loans and leases: All other loans and leases: Other loans not elsewhere classified,LESS: Allowance for loan and lease losses,Cash assets,Total fed funds sold and securities purchased under agreements to resell,Loans to commercial banks,Other assets,Total assets,Deposits,Large time deposits,Other deposits,Borrowings,Net due to related foreign offices,Other liabilities,Total liabilities,Residual (assets less liabilities)
1987-01,1548075.7,306416,180049.6,,,126366.4,,,1241659.6,397690.4,386834.6,,,,,,,,,304696.7,,,,,152438,,,26823.4,197390.2,,29129,115385.9,2001372.4,1488181.8,218792.9,1269389,299655.5,,54794.5,1804179.5,197192.9
1987-02,1546104.9,305662.7,178930.3,,,126732.4,,,1240442.1,394766.2,391211.6,,,,,,,,,304493.9,,,,,149970.4,,,27067.9,200766.4,,29501,118683.6,1998931.1,1486978,219783.6,1267194.4,295204,,57035,1804059.4,194871.8
1987-03,1553828.5,308713.2,180889,,,127824.1,,,1245115.3,393337.5,397306.2,,,,,,,,,304932.6,,,,,149539,,,27352.2,203052.1,,30138.6,123219.1,2010771.3,1499777.6,221723.3,1278054.3,289183.6,,62445,1820400.1,190371.1
1987-04,1568205,311707,182663.4,,,129043.5,,,1256498.1,391807.7,403944.4,,,,,,,,,305852.6,,,,,154893.4,,,27544.7,202798.3,,32177.2,122448.9,2026913.2,1507092.9,224804.6,1282288.3,290904.2,,49861,1817507.2,209406
1987-05,1573924.7,314060.3,183934.2,,,130126.1,,,1259864.4,392417.3,409545.9,,,,,,,,,305886.1,,,,,152015,,,28791.7,198005,,31846.3,123118.9,2030605.2,1506829.9,228739.5,1278090.4,297519.2,,51645.5,1828776.5,201828.7
1987-06,1577254.5,314575.5,184187.4,,,130388.1,,,1262679,392644,416832.2,,,,,,,,,304289.7,,,,,148913.1,,,36663.6,202047.2,,31344.9,122761.4,2028580.7,1512381,231525.1,1280855.9,293312.3,,46872.4,1828883.6,199697.1
1987-07,1581372.3,316321.2,186635.6,,,129685.5,,,1265051.2,389901.4,422771.7,,23830.9,,,,,,,305820.3,,,,,146557.9,,,44497.8,194749.5,,32384.2,123687.3,2018657.3,1511296.7,233112.1,1278184.6,292180.3,,49847,1831529.3,187128.1
1987-08,1587310.4,317362.5,188681.9,,,128680.5,,,1269948,388562,427707.6,,24841,,,,,,,308340,,,,,145338.3,,,44830.8,196354.1,,33095.1,124866.5,2030340.1,1515574.5,232387.6,1283186.9,297549.2,,42619.9,1838053.4,192286.7
1987-09,1601933.5,318802.5,189521.9,,,129280.7,,,1283131,391714.7,432585.5,,25858.4,,,,,,,311191.7,,,,,147639,,,44768.2,197732.9,,33459.6,126590.1,2047327.8,1520531.3,232822.7,1287708.5,299321.2,,45831.7,1851607.5,195720.3
1987-10,1612234.7,317034.7,188939.4,,,128095.3,,,1295200,392774.6,438308.5,,26585.3,,,,,,,313192.9,,,,,150924,,,44758.6,197273.3,,34579.9,128507.9,2065433.8,1530726.7,238476.6,1292250,304006.3,,55725.5,1873407.7,192026.1
